Código,Asignatura,HT/HP por Periodo,HT por semana,HP por semana,HT/HP por semana,Creditos,Requisitos
FGUS 001,Formación Humana y Social,72,2,2,4,4,S/R
FGUS 002,DHPC,72,2,2,4,4,S/R
ICCS 001,Matemáticas,90,5,0,5,6,S/R
CCOS 003,Álgebra Superior,90,5,0,5,6,S/R
CCOS 007,Cálculo Diferencial,90,5,0,5,6,ICCS 001
ICCS 003,Álgebra Lineal con Elementos en Geometría Analítica,90,5,0,5,6,CCOS 003
CCOS 008,Cálculo Integral,90,5,0,5,6,CCOS 007
ICCS 002,Física I,90,4,1,5,6,ICCS 001
ICCS 004,Física II,90,4,1,5,6,ICCS 002
CCOS 001,Metodología de la Programación,72,4,0,4,4,S/R
CCOS 005,Ensamblador,90,3,2,5,6,CCOS 004
CCOS 004,Programación I,90,3,2,5,6,CCOS 001
CCOS 010,Programación II,90,3,2,5,6,CCOS 004
ICCS 006,Ecuaciones Diferenciales,90,5,0,5,6,CCOS 008
ICCS 005,Matemáticas Discretas,90,5,0,5,6,ICCS 003
CCOS 013,Estructuras de Datos,90,3,2,5,6,CCOS 010
ICCS 007,Circuitos Eléctricos,90,3,2,5,6,ICCS 004
CCOS 261,Graficación,90,3,2,5,6,CCOS 010 y ICCS 003
FGUS 004,Lengua Extranjera I,72,2,2,4,4,S/R
FGUS 005,Lengua Extranjera II,72,2,2,4,4,FGUS 004
FGUS 006,Lengua Extranjera III,72,2,2,4,4,FGUS 005
FGUS 007,Lengua Extranjera IV,72,2,2,4,4,FGUS 006
