Código,Asignatura,HT/HP por Periodo,HT por semana,HP por semana,HT/HP por semana,Creditos,Requisitos
CCOS 609,Animación por Computadora,90,1,4,5,6,S/R
CCOS 700,Aplicaciones WEB,90,1,4,5,6,S/R
ICCS 600,Métodos Numericos,90,3,2,5,6,ICCS 006
ICCS 605,Máquinas de Aprendizaje,90,3,2,5,6,ICCS 257
ICCS 601,Lógica Matemática,90,3,2,5,6,ICCS 005
ICCS 603,Lenguajes de Programación,90,3,2,5,6,ISCO 201
CCOS 601,Ingeniería de Software Avanzada,90,3,2,5,6,ISCO 200
CCOS 607,Interacción Humano Computadora,90,3,2,5,6,ISCO 200
CCOS 608,Procesamiento Digital de Imágenes,90,3,2,5,6,CCOS 261
ICCS 602,Introducción a los Compiladores,90,3,2,5,6,CCOS 013
ICCS 607,Tratamiento de la Información,90,3,2,5,6,ICCS 256
CCOS 264,Recuperación de la Información,90,3,2,5,6,ICCS 256
ICCS 606,Simulación,90,3,2,5,6,CCOS 251
ICCS 604,Cómputo Obicuo,90,3,2,5,6,ICCS 258
ICCS 611,Arquitectura Avanzada de Computadoras,90,3,2,5,6,ISCC 201
ICCS 608,Investigación de Operaciones,90,3,2,5,6,ICCS 600
ICCS 609,Súper Cómputo,90,3,2,5,6,ICCS 603
ICCS 610,Sistemas Interativos Modernos,90,3,2,5,6,ICCS 603
CCOS 600,Web Semático,90,3,2,5,6,ICCS 257
ICCS 614,Almacenamiento de Datos,90,3,2,5,6,ICCS 257
ICCS 613,Control Digital,90,3,2,5,6,ICCS 254
ICCS 617,Robótica Aplicada,90,3,2,5,6,ICCS 255
ICCS 615,Reconocimiento de Patrones,90,3,2,5,6,ICCS 605
ICCS 612,Sistemas de Tiempo Real,90,3,2,5,6,ICCS 252
ICCS 616,Visión y Animación por Computadora,90,3,2,5,6,CCOS 608
