Código,Asignatura,HT/HP por Periodo,HT por semana,HP por semana,HT/HP por semana,Creditos,Requisitos
ITIS 700,Desarrollo de Videojuegos,90,1,4,5,6,S/R
ITIS 701,Tecnologías Emergentes para TICS,90,1,4,5,6,S/R
ITIS 702,Desarrollo de Sitios WEB,90,1,4,5,6,S/R
ITIS 600,Desarrollo Basado en Modelos,90,3,2,5,6,ITIS 257
ITIS 601,Cómputo Orientado a Servicios,90,3,2,5,6,ITIS 260
ITIS 602,Tecnologías de la Web Semántica,90,3,2,5,6,ITIS 260
ITIS 603,Ingeniería de Conociemiento,90,3,2,5,6,ITIS 253
ITIS 604,Inteligencia Artificial,90,3,2,5,6,ITIS 253
ITIS 605,Metodos Formales,90,3,2,5,6,ITIS 008
ITIS 606,Aprendizaje Artificial,90,3,2,5,6,ITIS 604
ITIS 607,Investigacion de Operaciones,90,3,2,5,6,ITIS 005
ITIS 608,Introducción al Cómputo de Alto Rendimiento,90,3,2,5,6,ITIS 254
ITIS 609,Logística,90,3,2,5,6,ITIS 607
ITIS 610,Nuevas Tendencias de la Ingeniería de Software,90,3,2,5,6,ITIS 200
ITIS 611,Arquitectura de Software,90,3,2,5,6,ITIS 200
ITIS 612,Teoría de Decisiones,90,3,2,5,6,ITIS 258
ITIS 613,Cómputo de Alto Rendimiento y Clusters,90,3,2,5,6,ITIS 608
